InductedToHallOfFame,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,Joe McDonald,1,32,4,5,0,0,0,1,0,0.15625,0.15625,0,0,0,0,0,5,1910,168
FALSE,Rabbit Robinson,3,700,71,156,23,14,1,58,30,0.22285714285714286,0.29999999999999999,0,0,0,0,0,248,1910,171
FALSE,Willis Cole,2,245,23,53,9,4,0,18,3,0.21632653061224488,0.2857142857142857,0,0,0,0,0,83,1910,174
FALSE,George Wheeler,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,177
FALSE,Ody Abbott,1,70,2,13,2,1,0,6,3,0.18571428571428572,0.24285714285714283,0,0,0,0,0,20,1910,180
FALSE,Walter Lonergan,1,26,2,7,0,0,0,1,1,0.26923076923076927,0.26923076923076927,0,0,0,0,0,7,1911,183
FALSE,Paul Meloan,2,431,53,109,17,8,3,38,11,0.25290023201856149,0.35034802784222735,0,0,0,0,0,179,1911,186
FALSE,Jack Mills,1,17,5,5,0,0,0,1,1,0.29411764705882354,0.29411764705882354,0,0,0,0,0,5,1911,189
FALSE,Ralph Kreitz,1,17,0,4,1,0,0,0,0,0.23529411764705885,0.29411764705882354,0,0,0,0,0,6,1911,192
FALSE,Bunny Madden,3,143,10,41,4,1,0,11,0,0.28671328671328672,0.32867132867132864,0,0,0,0,0,52,1911,195
FALSE,Harry Welchonce,1,66,9,14,4,0,0,6,0,0.2121212121212121,0.27272727272727271,0,0,0,0,0,22,1911,198
FALSE,Ed Wilkinson,1,13,2,3,0,0,0,1,0,0.23076923076923075,0.23076923076923075,0,0,0,0,0,3,1911,201
FALSE,Clarence Lehr,1,27,2,4,0,0,0,2,0,0.14814814814814814,0.14814814814814814,0,0,0,0,0,4,1911,204
FALSE,Al Burch,6,2185,254,554,48,20,4,103,96,0.25354691075514874,0.29931350114416477,0,0,0,0,0,726,1911,207
FALSE,Hap Morse,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,210
FALSE,Cotton Knaupp,2,98,5,18,4,1,0,11,4,0.18367346938775511,0.24489795918367344,0,0,0,0,0,29,1911,213
FALSE,Allie Moulton,1,15,4,1,0,0,0,1,0,6.6666666666666666E-2,6.6666666666666666E-2,0,0,0,0,0,1,1911,216
FALSE,Pryor McElveen,3,502,42,105,16,4,4,56,12,0.2091633466135458,0.28087649402390436,0,0,0,0,0,165,1911,219
FALSE,Stubby Magner,1,33,3,7,0,0,0,4,1,0.2121212121212121,0.2121212121212121,0,0,0,0,0,7,1911,222
FALSE,Jock Somerlott,2,103,8,21,0,0,0,4,4,0.20388349514563109,0.20388349514563109,0,0,0,0,0,21,1911,225
FALSE,Jim Doyle,2,485,70,135,25,12,5,63,19,0.27835051546391754,0.41030927835051545,0,0,0,0,0,241,1911,228
FALSE,Ed Conwell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,231
FALSE,Joe Crisp,2,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,1911,234
FALSE,Dave Rowan,1,65,7,25,1,1,0,11,0,0.38461538461538464,0.43076923076923074,0,0,0,0,0,30,1911,237
FALSE,Fred Walden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,240
FALSE,Vincent Maney,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,243
FALSE,Ed Hallinan,2,255,24,54,5,1,0,15,7,0.21176470588235294,0.23921568627450981,0,0,0,0,0,67,1912,246
FALSE,Jud Daley,2,264,30,66,11,2,1,20,4,0.25,0.31818181818181818,0,0,0,0,0,98,1912,249
FALSE,Bill Otis,1,17,1,1,0,0,0,2,0,5.8823529411764712E-2,5.8823529411764712E-2,0,0,0,0,0,1,1912,252
FALSE,Red Downs,3,790,68,179,30,11,3,94,13,0.22658227848101267,0.30379746835443039,0,0,0,0,0,284,1912,255
FALSE,Jim Clark,2,19,2,3,0,1,0,3,2,0.15789473684210525,0.26315789473684209,0,0,0,0,0,6,1912,258
FALSE,Charlie Snell,1,19,0,4,1,0,0,0,0,0.2105263157894737,0.26315789473684209,0,0,0,0,0,6,1912,261
FALSE,Bill Brinker,1,18,1,4,1,0,0,2,0,0.22222222222222224,0.27777777777777779,0,0,0,0,0,6,1912,264
FALSE,Charley Moore,1,9,2,2,0,1,0,2,0,0.22222222222222224,0.44444444444444448,0,0,0,0,0,5,1912,267
FALSE,George Mangus,1,25,2,5,3,0,0,3,0,0.20000000000000001,0.32000000000000001,0,0,0,0,0,11,1912,270
FALSE,Stan Gray,1,20,4,5,0,1,0,2,0,0.25,0.34999999999999998,0,0,0,0,0,8,1912,273
FALSE,Mike Loan,1,2,1,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,1912,276
FALSE,Earle Gardner,5,948,105,249,26,5,1,108,38,0.26265822784810128,0.30379746835443039,0,0,0,0,0,320,1912,279
FALSE,Pat Maloney,1,79,9,17,1,0,0,4,3,0.21518987341772153,0.22784810126582281,0,0,0,0,0,19,1912,282
FALSE,Charlie Miller,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,285
FALSE,John Mercer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,288
FALSE,Jack Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,291
FALSE,Howard Fahey,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,294
FALSE,Willie Hogan,2,822,86,194,28,10,3,100,35,0.23600973236009734,0.30535279805352794,0,0,0,0,0,292,1912,297
FALSE,Bill Jones,2,53,6,12,2,1,0,5,1,0.22641509433962262,0.30188679245283023,0,0,0,0,0,19,1912,300
FALSE,Bill Leinhauser,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,303
FALSE,Roy Moran,1,13,1,2,0,0,0,0,3,0.15384615384615385,0.15384615384615385,0,0,0,0,0,2,1912,306
FALSE,Eddie Hohnhorst,2,117,13,31,4,1,0,8,8,0.26495726495726496,0.31623931623931623,0,0,0,0,0,42,1912,309
FALSE,Bob Higgins,3,35,1,5,0,0,0,2,1,0.14285714285714285,0.14285714285714285,0,0,0,0,0,5,1912,312
FALSE,Andy Kyle,1,21,3,7,1,0,0,4,0,0.33333333333333337,0.38095238095238093,0,0,0,0,0,9,1912,315
FALSE,Johnny Priest,2,23,3,4,0,0,0,3,3,0.17391304347826086,0.17391304347826086,0,0,0,0,0,4,1912,318
FALSE,Jim Galloway,1,54,4,10,2,0,0,4,2,0.18518518518518517,0.22222222222222224,0,0,0,0,0,14,1912,321
FALSE,Billy Kelly,4,224,32,65,5,4,1,20,9,0.29017857142857145,0.36160714285714285,0,0,0,0,0,91,1913,324
FALSE,Jimmy Whelan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,327
FALSE,Palmer Hildebrand,1,55,3,9,2,0,0,1,1,0.16363636363636364,0.20000000000000001,0,0,0,0,0,13,1913,330
FALSE,Buddy Ryan,2,571,79,161,18,10,1,63,21,0.28196147110332748,0.35376532399299476,0,0,0,0,0,231,1913,333
FALSE,Bill Stumpf,2,158,13,37,1,0,0,11,5,0.23417721518987342,0.24050632911392406,0,0,0,0,0,39,1913,336
FALSE,Ralph Capron,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,339
FALSE,Monte Pfeffer,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,342
FALSE,Wally Snell,1,12,1,3,0,0,0,0,1,0.25,0.25,0,0,0,0,0,3,1913,345
FALSE,Bill McAllester,1,85,3,13,4,0,0,6,2,0.15294117647058825,0.20000000000000001,0,0,0,0,0,21,1913,348
FALSE,Karl Meister,1,7,1,2,1,0,0,2,0,0.2857142857142857,0.42857142857142855,0,0,0,0,0,4,1913,351
FALSE,George Tomer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,354
FALSE,Jeff McCleskey,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,357
FALSE,Johnny Johnston,1,380,37,85,14,4,2,27,11,0.22368421052631579,0.29736842105263162,0,0,0,0,0,133,1913,360
FALSE,Mike Balenti,2,219,19,40,2,4,0,11,6,0.18264840182648401,0.22831050228310501,0,0,0,0,0,56,1913,363
FALSE,George Jackson,3,554,85,158,24,7,4,73,34,0.2851985559566787,0.37545126353790614,0,0,0,0,0,243,1913,366
FALSE,John Vann,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,369
FALSE,Biff Schaller,2,156,20,29,3,1,1,11,6,0.1858974358974359,0.23717948717948717,0,0,0,0,0,42,1913,372
FALSE,Gil Britton,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,375
FALSE,Walt Meinert,1,8,1,3,0,0,0,0,1,0.375,0.375,0,0,0,0,0,3,1913,378
